date,steps,distance,runDistance,calories
24/04/2022,2700,1851,220,63
25/04/2022,0,0,0,0
26/04/2022,6071,4286,174,192
27/04/2022,744,497,55,15
28/04/2022,3952,2879,194,120
29/04/2022,222,148,40,7
30/04/2022,685,456,90,18
01/05/2022,0,0,0,0
02/05/2022,6280,4602,244,213
03/05/2022,5261,3793,246,159
04/05/2022,6385,4503,189,191
05/05/2022,8008,5808,95,294
06/05/2022,237,158,32,6
08/05/2022,1763,1249,57,52
09/05/2022,9385,6621,85,299
10/05/2022,7799,5768,1684,368
11/05/2022,12375,8736,503,348
12/05/2022,7565,5510,1621,259
13/05/2022,12522,8955,412,427
14/05/2022,4857,3453,180,167
15/05/2022,4800,3407,155,153
16/05/2022,8044,5538,209,189
17/05/2022,7648,5610,1435,530
18/05/2022,7211,4997,249,182
19/05/2022,3541,2500,196,98
20/05/2022,10403,7394,797,317
21/05/2022,7708,5330,205,214
22/05/2022,3275,2580,1245,130
23/05/2022,5241,3603,336,133
24/05/2022,8686,6292,1502,309
25/05/2022,6534,4560,336,178
26/05/2022,8522,6171,805,303
27/05/2022,4690,3162,111,112
28/05/2022,5634,3865,505,157
29/05/2022,3894,2723,190,116
30/05/2022,7832,5362,450,206
31/05/2022,5898,4038,316,156
01/06/2022,4473,3028,231,107
02/06/2022,5186,3601,290,136
03/06/2022,4574,3116,321,107
04/06/2022,5231,3549,354,115
05/06/2022,7920,5503,312,217
06/06/2022,6379,4375,413,187
07/06/2022,10217,7189,366,289
08/06/2022,3542,2451,223,87
09/06/2022,3719,2523,274,84
10/06/2022,6084,4257,262,169
11/06/2022,4185,2836,314,99
12/06/2022,7720,5337,304,203
13/06/2022,4516,3095,294,112
14/06/2022,14662,10398,537,429
15/06/2022,3079,2082,157,76
16/06/2022,3322,2240,203,84
17/06/2022,8215,5819,176,262
18/06/2022,4623,3122,260,109
19/06/2022,3056,2141,214,85
20/06/2022,15038,10822,591,513
21/06/2022,6535,4487,405,192
22/06/2022,6839,4812,334,175
23/06/2022,6167,4229,321,154
24/06/2022,1990,1324,159,40
25/06/2022,7591,5490,479,269
26/06/2022,2672,1868,121,78
27/06/2022,5903,4095,285,156
28/06/2022,4596,3219,256,123
29/06/2022,6770,4758,425,187
30/06/2022,3838,2594,204,91
01/07/2022,5895,3991,441,154
02/07/2022,9018,6313,446,240
03/07/2022,64,43,13,2
04/07/2022,4941,3608,151,169
05/07/2022,1252,849,54,31
06/07/2022,4037,2850,294,121
07/07/2022,694,477,34,16
08/07/2022,0,0,0,0
09/07/2022,0,0,0,0
10/07/2022,0,0,0,0
11/07/2022,0,0,0,0
12/07/2022,0,0,0,0
13/07/2022,0,0,0,0
14/07/2022,0,0,0,0
15/07/2022,0,0,0,0
16/07/2022,0,0,0,0
17/07/2022,0,0,0,0
18/07/2022,0,0,0,0
19/07/2022,0,0,0,0
20/07/2022,0,0,0,0
21/07/2022,0,0,0,0
01/08/2022,1152,835,16,30
02/08/2022,19391,14157,701,722
03/08/2022,2138,1423,255,47
04/08/2022,9168,6661,278,308
05/08/2022,4665,3320,207,137
06/08/2022,1875,1247,193,45
07/08/2022,8880,6563,220,339
08/08/2022,14742,10663,439,553
09/08/2022,2028,1349,163,42
10/08/2022,3185,2126,106,70
11/08/2022,6422,4479,470,186
12/08/2022,1247,830,126,33
13/08/2022,2797,1861,192,62
14/08/2022,1912,1272,190,44
15/08/2022,3187,2138,135,74
16/08/2022,1469,977,79,29
17/08/2022,1674,1123,139,39
18/08/2022,2242,1494,232,50
19/08/2022,12281,8435,621,309
20/08/2022,3977,2728,249,117
