date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps,,,,,,,,,,,,,,,
26/12/2021,86,287,11,2021-12-25 21:53:00+0000,2021-12-26 04:53:00+0000,36,,,,,,,,,,,,,,,,
27/12/2021,60,383,31,2021-12-26 20:46:00+0000,2021-12-27 05:53:00+0000,73,,,,,,,,,,,,,,,,
28/12/2021,0,0,0,2021-12-26 21:00:00+0000,2021-12-26 21:00:00+0000,0,,,,,,,,,,,,,,,,
29/12/2021,61,259,0,2021-12-28 22:42:00+0000,2021-12-29 04:52:00+0000,50,,,,,,,,,,,,,,,,
30/12/2021,87,353,54,2021-12-29 19:40:00+0000,2021-12-30 05:06:00+0000,72,,,,,,,,,,,,,,,,
31/12/2021,59,284,0,2021-12-30 22:14:00+0000,2021-12-31 04:32:00+0000,35,,,,,,,,,,,,,,,,
01/01/2022,71,276,0,2021-12-31 22:35:00+0000,2022-01-01 05:04:00+0000,42,,,,,,,,,,,,,,,,
02/01/2022,121,286,60,2022-01-01 18:58:00+0000,2022-01-02 04:11:00+0000,86,"[{\start\"":\""2019-04-14 00:36:36+0000\""","\""end\"":\""2019-04-14 00:36:46+0000\""}","{\""start\"":\""2019-04-14 00:36:47+0000\""","\""end\"":\""2019-04-14 00:37:20+0000\""}","{\""start\"":\""2019-04-14 00:37:21+0000\""","\""end\"":\""2019-04-14 00:38:32+0000\""}]""",,,,,,,,,,
03/01/2022,51,343,0,2022-01-02 20:12:00+0000,2022-01-03 03:41:00+0000,55,,,,,,,,,,,,,,,,
04/01/2022,88,217,1,2022-01-03 20:37:00+0000,2022-01-04 02:20:00+0000,37,,,,,,,,,,,,,,,,
05/01/2022,63,347,4,2022-01-04 20:32:00+0000,2022-01-05 04:18:00+0000,52,,,,,,,,,,,,,,,,
06/01/2022,47,109,0,2022-01-06 02:19:00+0000,2022-01-06 05:11:00+0000,16,,,,,,,,,,,,,,,,
07/01/2022,85,298,0,2022-01-06 20:20:00+0000,2022-01-07 03:24:00+0000,41,,,,,,,,,,,,,,,,
08/01/2022,0,0,0,2022-01-06 21:00:00+0000,2022-01-06 21:00:00+0000,0,,,,,,,,,,,,,,,,
09/01/2022,105,231,69,2022-01-08 21:33:00+0000,2022-01-09 05:38:00+0000,80,,,,,,,,,,,,,,,,
10/01/2022,31,99,0,2022-01-09 23:07:00+0000,2022-01-10 01:45:00+0000,28,,,,,,,,,,,,,,,,
11/01/2022,47,213,2,2022-01-11 00:49:00+0000,2022-01-11 05:43:00+0000,32,,,,,,,,,,,,,,,,
12/01/2022,0,0,0,2022-01-10 21:00:00+0000,2022-01-10 21:00:00+0000,0,,,,,,,,,,,,,,,,
13/01/2022,0,0,0,2022-01-11 21:00:00+0000,2022-01-11 21:00:00+0000,0,,,,,,,,,,,,,,,,
14/01/2022,0,0,0,2022-01-12 21:00:00+0000,2022-01-12 21:00:00+0000,0,,,,,,,,,,,,,,,,
15/01/2022,0,0,0,2022-01-13 21:00:00+0000,2022-01-13 21:00:00+0000,0,,,,,,,,,,,,,,,,
16/01/2022,54,348,20,2022-01-15 21:44:00+0000,2022-01-16 05:47:00+0000,61,,,,,,,,,,,,,,,,
17/01/2022,84,345,3,2022-01-16 19:59:00+0000,2022-01-17 05:06:00+0000,115,,,,,,,,,,,,,,,,
18/01/2022,43,265,1,2022-01-17 20:33:00+0000,2022-01-18 02:32:00+0000,50,,,,,,,,,,,,,,,,
19/01/2022,107,333,2,2022-01-18 20:35:00+0000,2022-01-19 04:58:00+0000,61,,,,,,,,,,,,,,,,
20/01/2022,86,274,0,2022-01-19 22:53:00+0000,2022-01-20 05:33:00+0000,40,,,,,,,,,,,,,,,,
21/01/2022,45,172,2,2022-01-21 00:52:00+0000,2022-01-21 05:24:00+0000,53,,,,,,,,,,,,,,,,
